visit-time,title,visit-count,typed-count,id,url
1531792546710,Google  Inc. - Google 지도,1,,dT7WFzb4zXnK,https://www.google.com/maps/@37.5648604 126.9825713 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sYXrYElEKJzvuwYqusyMnBw!2e0!7i13312!8i6656
1531792545354,Google  Inc. - Google 지도,1,,OD_ESPYHZR-5,https://www.google.com/maps/@37.564768 126.9825424 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sP-rY1qKZkRqI3rRyM_8I2w!2e0!7i13312!8i6656
1531792543820,Google  Inc. - Google 지도,1,,bDvTjl3OtyYO,https://www.google.com/maps/@37.564676 126.982511 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sIPSbdXE4ynVAUsVNQWbqXg!2e0!7i13312!8i6656
1531792542478,Google  Inc. - Google 지도,1,,g9cml8WA0OGN,https://www.google.com/maps/@37.5645849 126.9824769 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1s8NH5nP1FS3XaB_qhSPpWnQ!2e0!7i13312!8i6656
1531792541054,Google  Inc. - Google 지도,1,,n2MO90kSHMPo,https://www.google.com/maps/@37.5644937 126.9824432 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sZ6XX-jUD8ZnuK7laEgFAFQ!2e0!7i13312!8i6656
1531792539732,Google  Inc. - Google 지도,1,,oxkTktw9XX5Z,https://www.google.com/maps/@37.5644009 126.9824109 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sxrTLObscP_Kua3kNGoeFmg!2e0!7i13312!8i6656
1531792538387,Google  Inc. - Google 지도,1,,g7Nn3Br5q1PB,https://www.google.com/maps/@37.5643538 126.9823953 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1s1OQIEftyDBUBNxp1sWpRQw!2e0!7i13312!8i6656
1531792536999,Google  Inc. - Google 지도,1,,ojB-kSvKOPfd,https://www.google.com/maps/@37.56426 126.9823643 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sCQ9OyjxLP-WHVtVr0Z866A!2e0!7i13312!8i6656
1531792535665,Google  Inc. - Google 지도,1,,ulI3YnTQjIcI,https://www.google.com/maps/@37.5641643 126.9823313 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1svYDoSDGHgBcwHc7pwp0EHA!2e0!7i13312!8i6656
1531792534302,Google  Inc. - Google 지도,1,,Xqc1FfQTrRt2,https://www.google.com/maps/@37.5640675 126.9822954 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sWWvg5RiTPXqhcn9m3c5kAg!2e0!7i13312!8i6656
1531792533875,Google  Inc. - Google 지도,1,,uHsd18vG9ivG,https://www.google.com/maps/@37.5639689 126.9822565 3a 75y 22.94h 90.81t/data=!3m9!1e1!3m7!1sjQmB5DRCnzs9q1fu6lsGtQ!2e0!7i13312!8i6656!9m2!1b1!2i37
1531792532808,Google  Inc. - Google 지도,1,,z2T9gdJ_-dIb,https://www.google.com/maps/@37.5639689 126.9822565 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sjQmB5DRCnzs9q1fu6lsGtQ!2e0!7i13312!8i6656
1531792531436,Google  Inc. - Google 지도,1,,FT2EYa6CL_0W,https://www.google.com/maps/@37.5638626 126.9822187 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sm9-9_cw_T9tQiKuvw65sUQ!2e0!7i13312!8i6656
1531792529499,Google  Inc. - Google 지도,1,,gEy139lY8kCu,https://www.google.com/maps/@37.5638085 126.9822038 3a 75y 22.94h 90.81t/data=!3m9!1e1!3m7!1sOLFjSNpZV48ArFqydgHaXw!2e0!7i13312!8i6656!9m2!1b1!2i37
1531792528582,Google  Inc. - Google 지도,1,,R9n4gwhbSn5r,https://www.google.com/maps/@37.5638085 126.9822038 3a 75y 22.94h 90.81t/data=!3m6!1e1!3m4!1sOLFjSNpZV48ArFqydgHaXw!2e0!7i13312!8i6656
1531792527868,Google  Inc. - Google 지도,1,,SDOarysx_lQ0,https://www.google.com/maps/@37.5638085 126.9822038 3a 75y 359.17h 95.24t/data=!3m9!1e1!3m7!1sOLFjSNpZV48ArFqydgHaXw!2e0!7i13312!8i6656!9m2!1b1!2i37
1531792526825,Google  Inc. - Google 지도,1,,M3jMUY8G7aPu,https://www.google.com/maps/@37.5638085 126.9822038 3a 75y 359.17h 95.24t/data=!3m6!1e1!3m4!1sOLFjSNpZV48ArFqydgHaXw!2e0!7i13312!8i6656
1531792525109,Google  Inc. - Google 지도,1,,c1FKYArN6czU,https://www.google.com/maps/@37.5637242 126.982224 3a 75y 359.17h 95.24t/data=!3m9!1e1!3m7!1sdaVF4Rlf_pAHdTm_QMPfsA!2e0!7i13312!8i6656!9m2!1b1!2i37
1531792524341,Google  Inc. - Google 지도,1,,f6YUCHJTLylH,https://www.google.com/maps/@37.5637242 126.982224 3a 75y 359.17h 95.24t/data=!3m6!1e1!3m4!1sdaVF4Rlf_pAHdTm_QMPfsA!2e0!7i13312!8i6656
1531792522982,Google  Inc. - Google 지도,1,,kQbqQi5lt2mS,https://www.google.com/maps/@37.5637242 126.982224 3a 75y 10.56h 94.49t/data=!3m9!1e1!3m7!1sdaVF4Rlf_pAHdTm_QMPfsA!2e0!7i13312!8i6656!9m2!1b1!2i37
1531792522145,Google  Inc. - Google 지도,1,,JeZ8ALzZOIM8,https://www.google.com/maps/@37.5637242 126.982224 3a 75y 10.56h 94.49t/data=!3m6!1e1!3m4!1sdaVF4Rlf_pAHdTm_QMPfsA!2e0!7i13312!8i6656
